,Profundidades (m),Acetona (m),Aceite (m),Alcohol (m),Shampoo (m),Agua (m)
count,10.0,10.0,10.0,10.0,5.0,10.0
mean,0.10699999999999998,0.09330000000000001,0.09530000000000001,0.08470000000000001,0.032600000000000004,0.094
std,0.06178097513708318,0.053611876793611075,0.049324436134638175,0.052357849883703636,0.019654516020497684,0.054609726443393056
min,0.012,0.014,0.015,0.009,0.011,0.01
25%,0.06475,0.054,0.062,0.041999999999999996,0.014,0.056249999999999994
50%,0.1085,0.092,0.098,0.0875,0.035,0.0915
75%,0.153,0.1415,0.13799999999999998,0.1225,0.049,0.13574999999999998
max,0.196,0.164,0.157,0.159,0.054,0.172
